1.20E+03	9.69E+11
1.21E+03	8.66E+11
1.22E+03	8.84E+11
1.23E+03	1.12E+12
1.24E+03	1.13E+12
1.25E+03	1.16E+12
1.26E+03	1.24E+12
1.27E+03	9.94E+11
1.28E+03	1.19E+12
1.29E+03	1.29E+12
1.30E+03	1.22E+12
1.31E+03	1.54E+12
1.32E+03	1.68E+12
1.33E+03	1.39E+12
1.34E+03	1.73E+12
1.35E+03	1.40E+12
1.36E+03	1.92E+12
1.37E+03	1.50E+12
1.38E+03	1.88E+12
1.39E+03	1.78E+12
1.40E+03	2.19E+12
1.41E+03	2.02E+12
1.42E+03	2.07E+12
1.43E+03	2.47E+12
1.44E+03	2.09E+12
1.45E+03	2.25E+12
1.46E+03	2.81E+12
1.47E+03	2.00E+12
1.48E+03	3.00E+12
1.49E+03	2.27E+12
1.50E+03	2.86E+12
1.51E+03	2.86E+12
1.52E+03	3.04E+12
1.53E+03	2.77E+12
1.54E+03	3.16E+12
1.55E+03	3.49E+12
1.56E+03	2.58E+12
1.57E+03	2.74E+12
1.58E+03	4.02E+12
1.59E+03	3.68E+12
1.60E+03	3.19E+12
1.61E+03	3.53E+12
1.62E+03	3.20E+12
1.63E+03	3.51E+12
1.64E+03	3.59E+12
1.65E+03	3.81E+12
1.66E+03	3.60E+12
1.67E+03	4.04E+12
1.68E+03	3.74E+12
1.69E+03	5.21E+12
1.70E+03	3.88E+12
1.71E+03	5.57E+12
1.72E+03	4.67E+12
1.73E+03	4.09E+12
1.74E+03	4.79E+12
1.75E+03	5.73E+12
1.76E+03	5.99E+12
1.77E+03	5.59E+12
1.78E+03	6.04E+12
1.79E+03	6.65E+12
1.80E+03	4.84E+12
1.81E+03	5.55E+12
1.82E+03	5.04E+12
1.83E+03	5.53E+12
1.84E+03	7.00E+12
1.85E+03	7.16E+12
1.86E+03	7.74E+12
1.87E+03	7.10E+12
1.88E+03	5.82E+12
1.89E+03	8.38E+12
1.90E+03	8.21E+12
1.91E+03	6.84E+12
1.92E+03	7.77E+12
1.93E+03	9.31E+12
1.94E+03	8.65E+12
1.95E+03	9.22E+12
1.96E+03	8.07E+12
1.97E+03	8.36E+12
1.98E+03	8.83E+12
1.99E+03	7.98E+12
2.00E+03	9.86E+12
2.01E+03	9.16E+12
2.02E+03	9.87E+12
2.03E+03	8.77E+12
2.04E+03	8.29E+12
2.05E+03	9.78E+12
2.06E+03	9.50E+12
2.07E+03	1.14E+13
2.08E+03	1.16E+13
2.09E+03	1.13E+13
2.10E+03	9.24E+12
2.11E+03	8.91E+12
2.12E+03	1.15E+13
2.13E+03	1.05E+13
2.14E+03	1.37E+13
2.15E+03	1.41E+13
2.16E+03	1.10E+13
2.17E+03	1.37E+13
2.18E+03	1.44E+13
2.19E+03	1.32E+13
2.20E+03	1.49E+13
2.21E+03	1.54E+13
2.22E+03	1.36E+13
2.23E+03	1.48E+13
2.24E+03	1.42E+13
2.25E+03	1.14E+13
2.26E+03	1.39E+13
2.27E+03	1.53E+13
2.28E+03	1.48E+13
2.29E+03	1.42E+13
2.30E+03	1.79E+13
2.31E+03	1.75E+13
2.32E+03	1.79E+13
2.33E+03	1.51E+13
2.34E+03	1.68E+13
2.35E+03	1.89E+13
2.36E+03	1.96E+13
2.37E+03	1.81E+13
2.38E+03	1.52E+13
2.39E+03	1.85E+13
2.40E+03	1.47E+13
2.41E+03	1.73E+13
2.42E+03	1.95E+13
2.43E+03	2.18E+13
2.44E+03	2.11E+13
2.45E+03	1.90E+13
2.46E+03	2.14E+13
2.47E+03	1.90E+13
2.48E+03	2.37E+13
2.49E+03	2.42E+13
2.50E+03	2.35E+13


